Category	Term	bp	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0006414~	translational elongation	77	32.9059829059829	2.1027876990587274E-53	AT1G08950, AT5G22315, AT4G39195, AT1G28730, AT5G65015, AT3G06665, AT2G44320, AT1G75740, AT4G31075, AT3G50505, AT5G10235, AT5G08075, AT5G43535, AT2G22580, AT5G50805, AT4G26375, AT4G39345, AT1G49280, AT1G07760, AT4G14415, AT3G10415, AT5G60966, AT1G20170, AT5G66755, AT5G38155, AT1G52170, AT4G16465, AT4G27875, AT5G49435, AT2G03700, AT1G21420, AT1G13010, AT4G08345, AT5G02505, AT3G07185, AT2G21700, AT2G07752, AT5G15805, AT2G07758, AT1G21800, AT3G06335, AT2G21360, AT3G48745, AT1G77040, AT4G37175, AT3G05525, AT1G10440, AT3G50665, AT2G16240, AT4G27885, AT3G21475, AT5G64735, AT4G39865, AT1G64420, AT3G61755, AT1G75970, AT4G16105, AT3G62245, AT2G07743, AT1G02600, AT1G03570, AT4G03405, AT1G09110, AT5G07625, AT5G58495, AT2G07748, AT1G57720, AT1G77560, AT5G27715, AT4G23915, AT1G68770, AT2G03660, AT1G13720, AT4G31895, AT1G63510, AT1G71700, AT5G45715	180	663	13998	9.031724484665661	8.600401689150195E-51	8.600401689150195E-51	2.9424764719633576E-50
GOTERM_BP_FAT	GO:0006412~	translation	86	36.75213675213676	1.3121529989386131E-42	AT1G08950, AT5G22315, AT4G39195, AT3G11940, AT1G28730, AT5G65015, AT3G06665, AT2G44320, AT1G75740, AT4G31075, AT3G50505, AT5G10235, AT1G58983, AT5G08075, AT3G41768, AT5G43535, AT2G22580, AT5G50805, AT4G26375, AT4G39345, AT1G49280, AT1G07760, AT4G14415, AT3G10415, AT5G15200, AT5G60966, AT1G20170, AT5G66755, AT5G38155, AT1G52170, AT4G16465, AT4G27875, AT5G49435, AT2G03700, AT1G21420, AT1G48830, AT1G13010, AT1G04270, AT4G08345, AT5G02505, AT3G07185, AT2G21700, AT2G07752, AT5G15805, AT2G07758, AT1G21800, AT3G06335, AT2G21360, AT3G48745, AT3G22230, AT1G77040, AT4G37175, AT3G05525, AT1G10440, AT3G50665, AT2G16240, AT4G27885, AT3G21475, AT5G64735, AT4G39865, AT1G64420, AT3G61755, AT1G75970, AT4G16105, AT5G61170, AT3G62245, AT2G07743, AT1G02600, AT1G03570, AT4G03405, AT1G09110, AT2G01010, AT5G07625, AT5G58495, AT2G07748, AT1G57720, AT1G77560, AT5G27715, AT4G23915, AT1G68770, AT2G03660, AT1G13720, AT4G31895, AT1G63510, AT1G71700, AT5G45715	180	1231	13998	5.432927159490929	5.366705765658928E-40	2.683352882829464E-40	1.8361241739816737E-39
GOTERM_BP_FAT	GO:0009765~	photosynthesis, light harvesting	5	2.1367521367521367	7.028271902165699E-4	AT1G29920, AT2G34430, AT1G29930, AT2G34420, AT5G28450	180	32	13998	12.151041666666666	0.24990647799114296	0.09140194053836992	0.9790033672127385
GOTERM_BP_FAT	GO:0019684~	photosynthesis, light reaction	6	2.564102564102564	0.004650145017077024	AT1G29920, AT2G34430, AT1G06680, AT1G29930, AT2G34420, AT5G28450	180	85	13998	5.489411764705882	0.8513774109639676	0.3791006493757628	6.314077943216578
GOTERM_BP_FAT	GO:0009409~	response to cold	9	3.8461538461538463	0.010268388443755699	AT5G20630, AT1G31812, AT3G45640, AT2G21660, AT4G02520, AT1G56070, AT1G29395, AT2G47730, AT5G02500	180	233	13998	3.003862660944206	0.9853231237317566	0.5701403046150365	13.448502189559076
GOTERM_BP_FAT	GO:0015979~	photosynthesis	7	2.9914529914529915	0.025021592958027222	AT1G29920, AT2G34430, AT1G06680, AT1G29930, AT2G34420, AT5G28450, AT3G21055	180	175	13998	3.1106666666666665	0.9999684532988836	0.822243431220538	29.853725518404385
GOTERM_BP_FAT	GO:0009769~	photosynthesis, light harvesting in photosystem II	2	0.8547008547008548	0.025412462856775363	AT2G34430, AT2G34420	180	2	13998	77.76666666666667	0.999973225027107	0.7777619415499027	30.24621555031559
GOTERM_BP_FAT	GO:0009266~	response to temperature stimulus	10	4.273504273504273	0.0383951326548721	AT5G20630, AT3G09440, AT1G31812, AT3G45640, AT2G21660, AT4G02520, AT1G56070, AT1G29395, AT2G47730, AT5G02500	180	354	13998	2.1967984934086626	0.9999998889212337	0.8648849018829279	42.18127992175591
GOTERM_BP_FAT	GO:0046686~	response to cadmium ion	9	3.8461538461538463	0.059217418881210876	AT3G12500, AT3G09440, AT1G75950, AT2G21660, AT4G02520, AT1G35720, AT1G65930, AT1G57720, AT5G02500	180	327	13998	2.1403669724770644	0.9999999999856415	0.9375928285168941	57.43726094989376
GOTERM_BP_FAT	GO:0043043~	peptide biosynthetic process	2	0.8547008547008548	0.0743267021872075	AT3G41979, AT2G01020	180	6	13998	25.922222222222224	0.9999999999999809	0.9575261715567983	66.06594018582075
GOTERM_BP_FAT	GO:0009617~	response to bacterium	7	2.9914529914529915	0.09338066651856983	AT1G06680, AT3G22231, AT3G45640, AT3G49120, AT4G02520, AT4G14400, AT2G47730	180	244	13998	2.231010928961749	1.0	0.9738793968477034	74.63479080376784

