Category	Term	bp	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0010033~	response to organic substance	19	9.178743961352657	0.0045510044403700555	AT2G47190, AT4G32810, AT5G37770, AT1G64990, AT1G56010, AT2G35930, AT1G10920, AT2G42620, AT2G34680, AT5G25220, AT1G28480, AT1G17520, AT4G17260, AT3G15540, AT2G46370, AT5G51060, AT1G28360, AT5G60450, AT2G41310	111	1176	13998	2.037460930318073	0.8935035223466615	0.8935035223466615	6.341796554865398
GOTERM_BP_FAT	GO:0009733~	response to auxin stimulus	9	4.3478260869565215	0.005071177033773544	AT2G46370, AT3G15540, AT1G17520, AT4G32810, AT5G37770, AT1G56010, AT2G42620, AT2G34680, AT5G60450	111	337	13998	3.367872323361938	0.9176093099257341	0.712962214901477	7.042320299941407
GOTERM_BP_FAT	GO:0009719~	response to endogenous stimulus	16	7.729468599033816	0.009191316787226081	AT2G46370, AT3G15540, AT1G17520, AT4G17260, AT2G47190, AT4G32810, AT1G28360, AT5G37770, AT1G56010, AT1G64990, AT2G42620, AT2G34680, AT5G25220, AT5G60450, AT2G41310, AT1G28480	111	975	13998	2.069466389466389	0.9892602602767449	0.779369989596802	12.421195911765492
GOTERM_BP_FAT	GO:0009725~	response to hormone stimulus	15	7.246376811594203	0.0116878704340148	AT2G46370, AT3G15540, AT1G17520, AT4G17260, AT2G47190, AT4G32810, AT1G28360, AT5G37770, AT1G56010, AT1G64990, AT2G42620, AT2G34680, AT5G25220, AT5G60450, AT2G41310	111	909	13998	2.0809918829720813	0.996888171744613	0.7638141338542584	15.53805362099614
GOTERM_BP_FAT	GO:0016567~	protein ubiquitination	5	2.4154589371980677	0.016927184250207415	AT1G66660, AT2G35930, AT5G51270, AT2G42620, AT1G01660	111	125	13998	5.044324324324324	0.9997711387189596	0.8129686257609621	21.746545454544897
GOTERM_BP_FAT	GO:0032446~	protein modification by small protein conjugation	5	2.4154589371980677	0.02075352989722636	AT1G66660, AT2G35930, AT5G51270, AT2G42620, AT1G01660	111	133	13998	4.740906319853688	0.9999662728824271	0.8202523569308028	26.009454511591045
GOTERM_BP_FAT	GO:0070647~	protein modification by small protein conjugation or removal	5	2.4154589371980677	0.02989679815338276	AT1G66660, AT2G35930, AT5G51270, AT2G42620, AT1G01660	111	149	13998	4.231815708325775	0.9999996630173422	0.8810477921465282	35.336727408477884
GOTERM_BP_FAT	GO:0009791~	post-embryonic development	13	6.280193236714976	0.03492815140045568	AT2G46140, AT3G60740, AT5G37770, AT1G64990, AT1G56010, AT1G08840, AT2G34680, AT3G15540, AT2G46370, AT1G58210, AT5G09750, AT4G30580, AT5G60450	111	851	13998	1.9264458347889606	0.9999999737706918	0.8871898038463059	39.990443262204934
GOTERM_BP_FAT	GO:0009734~	auxin mediated signaling pathway	4	1.932367149758454	0.06460378868512401	AT3G15540, AT1G56010, AT2G42620, AT5G60450	111	117	13998	4.311388311388312	0.9999999999999942	0.973839309628093	61.683000290757285
GOTERM_BP_FAT	GO:0006650~	glycerophospholipid metabolic process	3	1.4492753623188406	0.07842796507682094	AT2G41210, AT4G30580, AT1G77740	111	59	13998	6.412276683463125	1.0	0.981870408340147	69.06061655362159
GOTERM_BP_FAT	GO:0009856~	pollination	4	1.932367149758454	0.0856831395108996	AT2G41210, AT1G71880, AT2G19130, AT4G00340	111	132	13998	3.8214578214578214	1.0	0.9816557726152125	72.38102035390514
GOTERM_BP_FAT	GO:0007242~	intracellular signaling cascade	11	5.314009661835748	0.09197325975482176	AT2G46370, AT3G15540, AT1G28360, AT5G37770, AT4G10370, AT1G56010, AT2G42620, AT3G48195, AT2G41310, AT5G60450, AT1G28480	111	790	13998	1.755935682517961	1.0	0.9807009494480603	74.98824553948577
GOTERM_BP_FAT	GO:0046486~	glycerolipid metabolic process	3	1.4492753623188406	0.09496209555192017	AT2G41210, AT4G30580, AT1G77740	111	66	13998	5.732186732186732	1.0	0.9769146118512341	76.14511621255473



